iso_code,continent,location,population
CHN,Asia,China,1425887360
IND,Asia,India,1417173120
IDN,Asia,Indonesia,275501344
PAK,Asia,Pakistan,235824864
BGD,Asia,Bangladesh,171186368
JPN,Asia,Japan,123951696
PHL,Asia,Philippines,115559008
VNM,Asia,Vietnam,98186856
IRN,Asia,Iran,88550568
TUR,Asia,Turkey,85341248
THA,Asia,Thailand,71697024
MMR,Asia,Myanmar,54179312
KOR,Asia,"South Korea",51815808
IRQ,Asia,Iraq,44496124
AFG,Asia,Afghanistan,41128772
SAU,Asia,"Saudi Arabia",36408824
UZB,Asia,Uzbekistan,34627648
MYS,Asia,Malaysia,33938216
YEM,Asia,Yemen,33696612
NPL,Asia,Nepal,30547586
PRK,Asia,"North Korea",26069416
TWN,Asia,Taiwan,23893396
SYR,Asia,Syria,22125242
LKA,Asia,"Sri Lanka",21832150
KAZ,Asia,Kazakhstan,19397998
KHM,Asia,Cambodia,16767851
JOR,Asia,Jordan,11285875
AZE,Asia,Azerbaijan,10358078
TJK,Asia,Tajikistan,9952789
ISR,Asia,Israel,9449000
ARE,Asia,"United Arab Emirates",9441138
LAO,Asia,Laos,7529477
HKG,Asia,"Hong Kong",7488863
KGZ,Asia,Kyrgyzstan,6630621
TKM,Asia,Turkmenistan,6430777
SGP,Asia,Singapore,5637022
LBN,Asia,Lebanon,5489744
PSE,Asia,Palestine,5250076
OMN,Asia,Oman,4576300
KWT,Asia,Kuwait,4268886
GEO,Asia,Georgia,3744385
MNG,Asia,Mongolia,3398373
ARM,Asia,Armenia,2780472
QAT,Asia,Qatar,2695131
BHR,Asia,Bahrain,1472237
TLS,Asia,Timor,1341298
BTN,Asia,Bhutan,782457
MAC,Asia,Macao,695180
MDV,Asia,Maldives,523798
BRN,Asia,Brunei,449002
OWID_CYN,Asia,"Northern Cyprus",382836
