location,continent,total_cases,total_deaths,deaths_per_million
Peru,"South America",4359209,217657,6400.00
Bulgaria,Europe,1289255,38067,5600.00
"Bosnia and Herzegovina",Europe,400698,16215,5000.00
Hungary,Europe,2171056,48337,4800.00
"North Macedonia",Europe,345067,9591,4600.00
Georgia,Asia,1807654,16888,4500.00
Montenegro,Europe,284137,2790,4400.00
Croatia,Europe,1257099,17415,4300.00
Czechia,Europe,4567493,41957,4000.00
Slovakia,Europe,2652801,20764,3700.00
"San Marino",Europe,22615,120,3600.00
Moldova,Europe,595402,11920,3600.00
Gibraltar,Europe,20207,110,3400.00
Romania,Europe,3301662,67310,3400.00
Lithuania,Europe,1280625,9442,3400.00
Latvia,Europe,968527,6111,3300.00
Greece,Europe,5448700,34482,3300.00
Slovenia,Europe,1276150,6955,3300.00
Brazil,"South America",35643770,691015,3200.00
Chile,"South America",4961151,62745,3200.00
