location,date,total_cases,total_deaths,death_infected_rate
Chile,2020-02-23,2,NULL,NULL
Chile,2020-02-24,2,NULL,NULL
Chile,2020-02-25,2,NULL,NULL
Chile,2020-02-26,2,NULL,NULL
Chile,2020-02-27,2,NULL,NULL
Chile,2020-02-28,2,NULL,NULL
Chile,2020-02-29,2,NULL,NULL
Chile,2020-03-01,9,NULL,NULL
Chile,2020-03-02,9,NULL,NULL
Chile,2020-03-03,10,NULL,NULL
Chile,2020-03-04,10,NULL,NULL
Chile,2020-03-05,13,NULL,NULL
Chile,2020-03-06,13,NULL,NULL
Chile,2020-03-07,13,NULL,NULL
Chile,2020-03-08,20,NULL,NULL
Chile,2020-03-09,20,NULL,NULL
Chile,2020-03-10,25,NULL,NULL
Chile,2020-03-11,35,NULL,NULL
Chile,2020-03-12,35,NULL,NULL
Chile,2020-03-13,55,NULL,NULL
Chile,2020-03-14,88,NULL,NULL
Chile,2020-03-15,101,NULL,NULL
Chile,2020-03-16,182,NULL,NULL
Chile,2020-03-17,228,NULL,NULL
Chile,2020-03-18,265,NULL,NULL
Chile,2020-03-19,265,NULL,NULL
Chile,2020-03-20,461,NULL,NULL
Chile,2020-03-21,592,NULL,NULL
Chile,2020-03-22,687,1,0.14556
Chile,2020-03-23,801,2,0.24969
Chile,2020-03-24,977,2,0.20471
Chile,2020-03-25,1197,3,0.25063
Chile,2020-03-26,1361,4,0.29390
Chile,2020-03-27,1665,5,0.30030
Chile,2020-03-28,2015,6,0.29777
Chile,2020-03-29,2245,7,0.31180
Chile,2020-03-30,2555,8,0.31311
Chile,2020-03-31,2844,12,0.42194
Chile,2020-04-01,3137,16,0.51004
Chile,2020-04-02,3510,18,0.51282
Chile,2020-04-03,3843,22,0.57247
Chile,2020-04-04,4355,27,0.61998
Chile,2020-04-05,4665,34,0.72883
Chile,2020-04-06,5009,37,0.73867
Chile,2020-04-07,5310,43,0.80979
Chile,2020-04-08,5740,48,0.83624
Chile,2020-04-09,6166,57,0.92442
Chile,2020-04-10,6695,65,0.97087
Chile,2020-04-11,7366,73,0.99104
Chile,2020-04-12,7652,80,1.04548
Chile,2020-04-13,7964,82,1.02963
Chile,2020-04-14,8356,92,1.10101
Chile,2020-04-15,8712,94,1.07897
