location,date,total_cases,population,infection_rate
Chile,2020-02-23,2,19603736,0.00001
Chile,2020-02-24,2,19603736,0.00001
Chile,2020-02-25,2,19603736,0.00001
Chile,2020-02-26,2,19603736,0.00001
Chile,2020-02-27,2,19603736,0.00001
Chile,2020-02-28,2,19603736,0.00001
Chile,2020-02-29,2,19603736,0.00001
Chile,2020-03-01,9,19603736,0.00005
Chile,2020-03-02,9,19603736,0.00005
Chile,2020-03-03,10,19603736,0.00005
Chile,2020-03-04,10,19603736,0.00005
Chile,2020-03-05,13,19603736,0.00007
Chile,2020-03-06,13,19603736,0.00007
Chile,2020-03-07,13,19603736,0.00007
Chile,2020-03-08,20,19603736,0.00010
Chile,2020-03-09,20,19603736,0.00010
Chile,2020-03-10,25,19603736,0.00013
Chile,2020-03-11,35,19603736,0.00018
Chile,2020-03-12,35,19603736,0.00018
Chile,2020-03-13,55,19603736,0.00028
Chile,2020-03-14,88,19603736,0.00045
Chile,2020-03-15,101,19603736,0.00052
Chile,2020-03-16,182,19603736,0.00093
Chile,2020-03-17,228,19603736,0.00116
Chile,2020-03-18,265,19603736,0.00135
Chile,2020-03-19,265,19603736,0.00135
Chile,2020-03-20,461,19603736,0.00235
Chile,2020-03-21,592,19603736,0.00302
Chile,2020-03-22,687,19603736,0.00350
Chile,2020-03-23,801,19603736,0.00409
Chile,2020-03-24,977,19603736,0.00498
Chile,2020-03-25,1197,19603736,0.00611
Chile,2020-03-26,1361,19603736,0.00694
Chile,2020-03-27,1665,19603736,0.00849
Chile,2020-03-28,2015,19603736,0.01028
Chile,2020-03-29,2245,19603736,0.01145
Chile,2020-03-30,2555,19603736,0.01303
Chile,2020-03-31,2844,19603736,0.01451
Chile,2020-04-01,3137,19603736,0.01600
Chile,2020-04-02,3510,19603736,0.01790
Chile,2020-04-03,3843,19603736,0.01960
Chile,2020-04-04,4355,19603736,0.02222
Chile,2020-04-05,4665,19603736,0.02380
Chile,2020-04-06,5009,19603736,0.02555
Chile,2020-04-07,5310,19603736,0.02709
Chile,2020-04-08,5740,19603736,0.02928
Chile,2020-04-09,6166,19603736,0.03145
Chile,2020-04-10,6695,19603736,0.03415
Chile,2020-04-11,7366,19603736,0.03757
Chile,2020-04-12,7652,19603736,0.03903
Chile,2020-04-13,7964,19603736,0.04062
Chile,2020-04-14,8356,19603736,0.04262
Chile,2020-04-15,8712,19603736,0.04444
Chile,2020-04-16,9246,19603736,0.04716
Chile,2020-04-17,9691,19603736,0.04943
Chile,2020-04-18,10598,19603736,0.05406
Chile,2020-04-19,10956,19603736,0.05589
Chile,2020-04-20,11375,19603736,0.05802
Chile,2020-04-21,11700,19603736,0.05968
Chile,2020-04-22,12164,19603736,0.06205
Chile,2020-04-23,12680,19603736,0.06468
Chile,2020-04-24,13174,19603736,0.06720
Chile,2020-04-25,14537,19603736,0.07415
Chile,2020-04-26,15010,19603736,0.07657
Chile,2020-04-27,15492,19603736,0.07903
Chile,2020-04-28,16044,19603736,0.08184
Chile,2020-04-29,16564,19603736,0.08449
Chile,2020-04-30,17702,19603736,0.09030
Chile,2020-05-01,18687,19603736,0.09532
Chile,2020-05-02,21213,19603736,0.10821
Chile,2020-05-03,22441,19603736,0.11447
Chile,2020-05-04,23421,19603736,0.11947
Chile,2020-05-05,24794,19603736,0.12648
Chile,2020-05-06,25826,19603736,0.13174
Chile,2020-05-07,27359,19603736,0.13956
Chile,2020-05-08,28750,19603736,0.14666
Chile,2020-05-09,32208,19603736,0.16430
Chile,2020-05-10,33855,19603736,0.17270
Chile,2020-05-11,35052,19603736,0.17880
Chile,2020-05-12,36710,19603736,0.18726
Chile,2020-05-13,39370,19603736,0.20083
Chile,2020-05-14,42029,19603736,0.21439
Chile,2020-05-15,44531,19603736,0.22716
Chile,2020-05-16,50016,19603736,0.25514
Chile,2020-05-17,52369,19603736,0.26714
Chile,2020-05-18,54647,19603736,0.27876
Chile,2020-05-19,58167,19603736,0.29671
Chile,2020-05-20,62205,19603736,0.31731
Chile,2020-05-21,66169,19603736,0.33753
Chile,2020-05-22,70445,19603736,0.35934
Chile,2020-05-23,80287,19603736,0.40955
Chile,2020-05-24,83996,19603736,0.42847
Chile,2020-05-25,88891,19603736,0.45344
Chile,2020-05-26,92855,19603736,0.47366
Chile,2020-05-27,97183,19603736,0.49574
Chile,2020-05-28,101837,19603736,0.51948
Chile,2020-05-29,105532,19603736,0.53833
Chile,2020-05-30,118720,19603736,0.60560
Chile,2020-05-31,123550,19603736,0.63024
Chile,2020-06-01,129020,19603736,0.65814
Chile,2020-06-02,132548,19603736,0.67614
Chile,2020-06-03,137490,19603736,0.70135
Chile,2020-06-04,142154,19603736,0.72514
Chile,2020-06-05,146361,19603736,0.74660
Chile,2020-06-06,160351,19603736,0.81796
Chile,2020-06-07,166756,19603736,0.85063
Chile,2020-06-08,171452,19603736,0.87459
Chile,2020-06-09,175365,19603736,0.89455
Chile,2020-06-10,181062,19603736,0.92361
Chile,2020-06-11,186698,19603736,0.95236
Chile,2020-06-12,193452,19603736,0.98681
Chile,2020-06-13,201634,19603736,1.02855
Chile,2020-06-14,208572,19603736,1.06394
Chile,2020-06-15,213715,19603736,1.09017
Chile,2020-06-16,218728,19603736,1.11575
Chile,2020-06-17,220628,19603736,1.12544
Chile,2020-06-18,225103,19603736,1.14827
Chile,2020-06-19,231393,19603736,1.18035
Chile,2020-06-20,236748,19603736,1.20767
Chile,2020-06-21,242355,19603736,1.23627
Chile,2020-06-22,246963,19603736,1.25978
Chile,2020-06-23,250767,19603736,1.27918
Chile,2020-06-24,254416,19603736,1.29779
Chile,2020-06-25,259064,19603736,1.32150
Chile,2020-06-26,263360,19603736,1.34342
Chile,2020-06-27,267766,19603736,1.36589
Chile,2020-06-28,271982,19603736,1.38740
Chile,2020-06-29,275999,19603736,1.40789
Chile,2020-06-30,279393,19603736,1.42520
Chile,2020-07-01,282043,19603736,1.43872
Chile,2020-07-02,284541,19603736,1.45146
Chile,2020-07-03,288089,19603736,1.46956
Chile,2020-07-04,291847,19603736,1.48873
Chile,2020-07-05,295532,19603736,1.50753
Chile,2020-07-06,298557,19603736,1.52296
Chile,2020-07-07,301019,19603736,1.53552
Chile,2020-07-08,303083,19603736,1.54605
Chile,2020-07-09,306216,19603736,1.56203
Chile,2020-07-10,309274,19603736,1.57763
Chile,2020-07-11,312029,19603736,1.59168
Chile,2020-07-12,315041,19603736,1.60705
Chile,2020-07-13,317657,19603736,1.62039
Chile,2020-07-14,319493,19603736,1.62976
Chile,2020-07-15,321205,19603736,1.63849
Chile,2020-07-16,323698,19603736,1.65121
Chile,2020-07-17,326439,19603736,1.66519
Chile,2020-07-18,328846,19603736,1.67747
Chile,2020-07-19,330930,19603736,1.68810
Chile,2020-07-20,333029,19603736,1.69880
Chile,2020-07-21,334683,19603736,1.70724
Chile,2020-07-22,336402,19603736,1.71601
Chile,2020-07-23,338759,19603736,1.72803
Chile,2020-07-24,341304,19603736,1.74102
Chile,2020-07-25,343592,19603736,1.75269
Chile,2020-07-26,345790,19603736,1.76390
Chile,2020-07-27,347923,19603736,1.77478
Chile,2020-07-28,349800,19603736,1.78435
Chile,2020-07-29,351575,19603736,1.79341
Chile,2020-07-30,353536,19603736,1.80341
Chile,2020-07-31,355667,19603736,1.81428
Chile,2020-08-01,357658,19603736,1.82444
Chile,2020-08-02,359731,19603736,1.83501
Chile,2020-08-03,361493,19603736,1.84400
Chile,2020-08-04,362962,19603736,1.85149
Chile,2020-08-05,364723,19603736,1.86048
Chile,2020-08-06,366671,19603736,1.87041
Chile,2020-08-07,368825,19603736,1.88140
Chile,2020-08-08,371023,19603736,1.89261
Chile,2020-08-09,373056,19603736,1.90298
Chile,2020-08-10,375044,19603736,1.91313
Chile,2020-08-11,376616,19603736,1.92114
Chile,2020-08-12,378168,19603736,1.92906
Chile,2020-08-13,380034,19603736,1.93858
Chile,2020-08-14,382111,19603736,1.94917
Chile,2020-08-15,383902,19603736,1.95831
Chile,2020-08-16,385946,19603736,1.96874
Chile,2020-08-17,387502,19603736,1.97667
Chile,2020-08-18,388855,19603736,1.98358
Chile,2020-08-19,390037,19603736,1.98961
Chile,2020-08-20,391849,19603736,1.99885
Chile,2020-08-21,393769,19603736,2.00864
Chile,2020-08-22,395708,19603736,2.01853
Chile,2020-08-23,397665,19603736,2.02852
Chile,2020-08-24,399568,19603736,2.03822
Chile,2020-08-25,400985,19603736,2.04545
Chile,2020-08-26,402365,19603736,2.05249
Chile,2020-08-27,404102,19603736,2.06135
Chile,2020-08-28,405972,19603736,2.07089
Chile,2020-08-29,408009,19603736,2.08128
Chile,2020-08-30,409974,19603736,2.09131
Chile,2020-08-31,411726,19603736,2.10024
Chile,2020-09-01,413145,19603736,2.10748
Chile,2020-09-02,414739,19603736,2.11561
Chile,2020-09-03,416501,19603736,2.12460
Chile,2020-09-04,418469,19603736,2.13464
